Function;RT;Violations;Cores;;Function;RT;Violations;Cores
f1;2662.9;0.0;753.8;;f1;2662.9;0.0;753.8
dev;3.3;0.0;0.5;;dev;3.3;0.0;0.5
f2;272.7;0.0;1986.6;;f2;272.7;0.0;1986.6
dev;0.2;0.0;1.6;;dev;0.2;0.0;1.6
f15;58.2;0.0;2178.2;;f3;590.8;36.4;1987.7
dev;0.0;0.0;1.4;;dev;0.2;0.5;2.4
f16;220.3;0.0;900.6;;f4;736.5;0.0;862.8
dev;0.2;0.0;0.7;;dev;0.3;0.0;0.6
f17;199.7;0.0;9700.8;;f5;474.1;12.9;1250.6
dev;0.2;0.0;1.4;;dev;0.4;0.7;0.7
f3;590.8;36.4;1987.7;;f6;644.7;0.0;1223.1
dev;0.2;0.5;2.4;;dev;0.4;0.0;0.7
f8;234.2;0.0;1597.9;;f7;192.2;0.0;550.7
dev;0.2;0.0;1.3;;dev;2.9;0.0;43.3
f10;86.3;0.0;3640.7;;f8;234.2;0.0;1597.9
dev;0.0;0.0;2.1;;dev;0.2;0.0;1.3
f9;311.9;46.4;8120.5;;f9;311.9;46.4;8120.5
dev;0.2;0.1;3.1;;dev;0.2;0.1;3.1
f18;271.2;50.2;8917.4;;f10;86.3;0.0;3640.7
dev;0.2;0.3;3.6;;dev;0.0;0.0;2.1
f20;211.4;60.8;9786.8;;f11;35.0;0.0;2533.9
dev;0.2;0.3;0.5;;dev;0.0;0.0;2.2
f4;736.5;0.0;862.8;;f12;115.6;0.0;3411.4
dev;0.3;0.0;0.6;;dev;0.0;0.0;2.2
f12;115.6;0.0;3411.4;;f13;423.8;44.6;3873.5
dev;0.0;0.0;2.2;;dev;0.4;0.3;2.7
f11;35.0;0.0;2533.9;;f14;172.0;0.0;4602.9
dev;0.0;0.0;2.2;;dev;0.0;0.0;3.9
f5;474.1;12.9;1250.6;;f15;58.2;0.0;2178.2
dev;0.4;0.7;0.7;;dev;0.0;0.0;1.4
f13;423.8;44.6;3873.5;;f16;220.3;0.0;900.6
dev;0.4;0.3;2.7;;dev;0.2;0.0;0.7
f21;126.7;0.0;1376.7;;f17;199.7;0.0;9700.8
dev;0.0;0.0;1.0;;dev;0.2;0.0;1.4
f23;97.9;0.0;4106.2;;f18;271.2;50.2;8917.4
dev;0.0;0.0;3.2;;dev;0.2;0.3;3.6
f22;331.7;62.2;1486.6;;f19;103.6;0.0;6628.3
dev;0.4;0.1;0.9;;dev;0.0;0.0;5.1
f24;300.1;70.5;9806.6;;f20;211.4;60.8;9786.8
dev;0.4;0.3;0.4;;dev;0.2;0.3;0.5
f25;63.3;0.0;2723.3;;f21;126.7;0.0;1376.7
dev;0.0;0.0;3.5;;dev;0.0;0.0;1.0
f6;644.7;0.0;1223.1;;f22;331.7;62.2;1486.6
dev;0.4;0.0;0.7;;dev;0.4;0.1;0.9
f14;172.0;0.0;4602.9;;f23;97.9;0.0;4106.2
dev;0.0;0.0;3.9;;dev;0.0;0.0;3.2
f19;103.6;0.0;6628.3;;f24;300.1;70.5;9806.6
dev;0.0;0.0;5.1;;dev;0.4;0.3;0.4
f7;192.2;0.0;550.7;;f25;63.3;0.0;2723.3
dev;2.9;0.0;43.3;;dev;0.0;0.0;3.5