Function;RT;Violations;Cores
f1;2204.5;0.0;7652.5
dev;0.7;0.0;1.3
f2;231.2;0.0;3700.4
dev;0.1;0.0;10.5
f3;518.0;5.1;9584.8
dev;0.2;0.4;0.6
f4;634.9;0.0;9084.5
dev;0.2;0.0;2.1
f5;350.1;0.0;7859.6
dev;0.2;0.0;8.8
f6;520.7;0.0;7586.5
dev;0.3;0.0;8.7
f7;178.9;0.0;1623.8
dev;0.0;0.0;1.5
f8;206.2;0.0;7577.8
dev;0.1;0.0;34.1
f9;303.1;45.9;9640.4
dev;0.1;0.1;0.8
f10;86.5;0.0;3635.6
dev;0.0;0.0;1.8
f11;35.1;0.0;2530.2
dev;0.0;0.0;1.2
f12;114.8;0.0;3455.5
dev;0.0;0.0;2.0
f13;343.1;4.1;9452.6
dev;0.2;0.2;2.8
f14;170.9;0.0;4694.4
dev;0.0;0.0;2.8
f15;58.3;0.0;2175.0
dev;0.0;0.0;1.3
f16;201.1;0.0;9272.1
dev;0.1;0.0;9.4
f17;199.7;0.0;9699.4
dev;0.1;0.0;1.1
f18;267.6;50.0;9707.3
dev;0.1;0.2;0.8
f19;103.8;0.0;6621.5
dev;0.0;0.0;3.7
f20;211.3;60.9;9785.7
dev;0.1;0.3;0.9
f21;124.9;0.0;1563.1
dev;0.0;0.0;1.2
f22;304.3;52.1;9732.1
dev;0.2;0.3;0.6
f23;98.1;0.0;4099.4
dev;0.0;0.0;3.3
f24;300.0;70.6;9806.4
dev;0.2;0.3;0.4
f25;63.4;0.0;2719.5
dev;0.0;0.0;2.0